#: table_doi: 10.17182/hepdata.78697.v2/t2
#: name: Table 2
#: description: Vertex reconstruction efficiency as a function of radial position $R$ for two $R$-hadron signal samples with $m_{\tilde{g}} = 1.2$ TeV, $\tau_{\tilde{g}} = 1$ ns and different neutralino masses. The efficiency is defined as the probability for a true LLP decay to be matched with a reconstructed DV fulfilling the vertex preselection criteria in events with a reconstructed primary vertex.
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'DV radius [mm]','Vertex reconstruction efficiency ($m_{\tilde{\chi}_{1}^{0}} = 1170$ GeV)','error +','error -'
177.5,0.416408,0.0499956,-0.0499956
182.5,0.391794,0.054017,-0.054017
187.5,0.360397,0.0492264,-0.0492264
192.5,0.284986,0.0458707,-0.0458707
197.5,0.386812,0.0463725,-0.0463725
202.5,0.461795,0.0506661,-0.0506661
207.5,0.363323,0.0523541,-0.0523541
212.5,0.391224,0.0513825,-0.0513825
217.5,0.455516,0.060902,-0.060902
222.5,0.373469,0.0764353,-0.0764353
227.5,0.284813,0.046926,-0.046926
232.5,0.381898,0.0584856,-0.0584856
237.5,0.369011,0.0549373,-0.0549373
242.5,0.39017,0.0561846,-0.0561846
247.5,0.368527,0.0598779,-0.0598779
252.5,0.287411,0.0513734,-0.0513734
257.5,0.297153,0.0623326,-0.0623326
262.5,0.117618,0.0421347,-0.0421347
267.5,0.19441,0.0484354,-0.0484354
272.5,0.0784856,0.0305824,-0.0305824
277.5,0.14505,0.0592415,-0.0592415
282.5,0.155694,0.0461396,-0.0461396
287.5,0.111456,0.0439691,-0.0439691
292.5,0.0259572,0.0185871,-0.0185871
297.5,0.0242012,0.0210867,-0.0210867

