#: table_doi: 10.17182/hepdata.78697.v2/t19
#: name: Table 19
#: description: Observed cross section upper 95% CL limits as a function of $m_{\tilde{g}}$ and $\tau$ for $m_{\tilde{\chi}_{1}^{0}}=100$ GeV. For the mass limits see the entry of Figure 8b.
#: data_file: data49.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: SIG
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000
'Log10(Lifetime / ns)','Gluino mass [GeV]','Observed limit [fb]'
-1.409,2000.0,0.245
-1.276,2000.0,0.2024
-1.143,2000.0,0.1743
-1.009,1200.0,0.1803
-0.8761,1200.0,0.1744
-0.7423,1200.0,0.1698
-1.009,1400.0,0.1715
-0.8761,1400.0,0.1636
-0.7423,1400.0,0.165
-1.009,1600.0,0.1655
-0.8761,1600.0,0.158
-0.7423,1600.0,0.1526
-1.009,1800.0,0.1606
-0.8761,1800.0,0.1556
-0.7423,1800.0,0.155
-1.009,2000.0,0.1576
-0.8761,2000.0,0.1507
-0.7423,2000.0,0.1501
-1.276,2200.0,0.1996
-1.143,2200.0,0.174
-1.009,2200.0,0.1586
-0.8761,2200.0,0.1513
-0.7423,2200.0,0.1461
0.7232,2200.0,0.4978
0.8565,2200.0,0.644
0.9899,2200.0,0.8442
1.123,2200.0,1.156
1.257,2200.0,1.579
-0.2104,2400.0,0.1687
-0.07676,2400.0,0.1825
0.0,2400.0,0.1916
0.1898,2400.0,0.2287
-0.2104,2600.0,0.1605
-0.07676,2600.0,0.1743
0.0,2600.0,0.1829
0.1898,2600.0,0.2203
0.7232,2600.0,0.4589
0.8565,2600.0,0.5911
0.9899,2600.0,0.7416
1.123,2600.0,0.9921
1.257,2600.0,1.335
1.39,2200.0,1.951
1.477,2200.0,2.307
1.257,2400.0,1.229
1.39,2400.0,1.595
1.477,2400.0,1.863
-1.824,2200.0,0.7566
-1.678,2200.0,0.5093
-1.538,2200.0,0.3349
-1.409,2200.0,0.2487
-1.143,2400.0,0.1661
-1.276,2400.0,0.1959
-1.824,2600.0,0.7892
-1.143,2600.0,0.1711
-1.678,2600.0,0.5553
-1.409,2400.0,0.25
-1.276,2600.0,0.2017
-1.538,2600.0,0.3635
-1.409,2600.0,0.257
-1.538,2400.0,0.3415
-1.678,2400.0,0.5161

